e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
26193;CLP;Banská Bystrica;;Banská Bystrica;Karpatská-AZ;sm Kostiviarska,výpad.sm MT,P,vnt;;48.758277;19.162411
26194;CLP;Banská Bystrica;;Banská Bystrica;Rudohorská-AZ;sm centr,CBA,Ľ,vnt;;48.763832;19.163347
26195;CLP;Banská Bystrica;;Banská Bystrica;Rudohorská-AZ;sm centr,CBA,Ľ,vnk;;48.763832;19.163347
26208;CLP;Banská Bystrica;;Banská Bystrica;Iliáš-AZ;pri firme Fenix,Ľ/vnt;;48.699465;19.143058
26209;CLP;Banská Bystrica;;Banská Bystrica;Iliáš-AZ;pri firme Fenix,Ľ/vnk;;48.699465;19.143058
26210;CLP;Banská Bystrica;;Banská Bystrica;Poľná-AZ;sm centr,zadný;;48.723696;19.130823
26221;CLP;Banská Bystrica;;Banská Bystrica;Na Karlove-AZ;sm Strieborné nám.,P,vnk Univerzita M.Bela;;48.747698;19.145066
26222;CLP;Banská Bystrica;;Banská Bystrica;Na Karlove-AZ;sm Strieborné nám.,P,vnt Univerzita M.Bela;;48.747698;19.145066
26223;CLP;Banská Bystrica;;Banská Bystrica;Na Karlove-AZ;sm Karlovo,P,vnk Univerzita M.Bela;;48.747893;19.145529
26224;CLP;Banská Bystrica;;Banská Bystrica;Na Karlove-AZ;sm Karlovo,P,vnt Univerzita M.Bela;;48.747893;19.145529
26241;CLP;Banská Bystrica;;Banská Bystrica;Medená-AZ;sm Radvaň,Ľ,vnt;;48.711964;19.119951
26242;CLP;Banská Bystrica;;Banská Bystrica;Medená-AZ;sm Radvaň,Ľ,vnk;;48.711964;19.119951
26243;CLP;Banská Bystrica;;Banská Bystrica;Švermova-AZ;sm Fončorda,P,vnk;;48.728576;19.134928
26244;CLP;Banská Bystrica;;Banská Bystrica;Švermova-AZ;sm Fončorda,P,vnt;;48.728576;19.134928
26245;CLP;Banská Bystrica;;Banská Bystrica;Švermova-AZ;sm Fončorda,Ľ,vnt;;48.728353;19.135078
26246;CLP;Banská Bystrica;;Banská Bystrica;Švermova-AZ;sm Fončorda,Ľ,vnk;;48.728353;19.135078
26257;CLP;Banská Bystrica;;Banská Bystrica;Tulská-AZ;sm Fončorda,Ľ,vnt Reštaurácia u Kucbeľa;;48.729808;19.111875
26258;CLP;Banská Bystrica;;Banská Bystrica;Tulská-AZ;sm Fončorda,Ľ,vnk Reštaurácia u Kucbeľa;;48.729808;19.111875
26259;CLP;Banská Bystrica;;Banská Bystrica;Partizánska-AZ;sm Brezno,Ľ,vnt SAD;;48.741847;19.182481
26260;CLP;Banská Bystrica;;Banská Bystrica;Partizánska-AZ;sm Brezno,Ľ,vnk SAD;;48.741847;19.182481
26261;CLP;Banská Bystrica;;Banská Bystrica;Radvaň Park-AZ;sm Sládkovičova,Ľ,vnt Mobelix, XXXLutz,pivovar Urpiner, DEK;;48.704661;19.132963
26262;CLP;Banská Bystrica;;Banská Bystrica;Radvaň Park-AZ;sm Sládkovičova,Ľ,vnk Mobelix, XXXLutz,pivovar Urpiner, DEK;;48.704661;19.132963
26263;CLP;Banská Bystrica;;Banská Bystrica;Sládkovičova-AZ;smc,P,vnk Pošta, Fara;;48.72054;19.13306
26264;CLP;Banská Bystrica;;Banská Bystrica;Sládkovičova-AZ;smc,P,vnt Pošta, Fara;;48.72054;19.13306
26265;CLP;Banská Bystrica;;Banská Bystrica;Sládkovičova-AZ;smc,Ľ,vnt Pošta, Fara;;48.72054;19.13306
26266;CLP;Banská Bystrica;;Banská Bystrica;Sládkovičova-AZ;smc,Ľ,vnk Pošta, Fara;;48.72054;19.13306
26267;CLP;Banská Bystrica;;Banská Bystrica;Šálková-AZ;sm BB,Ľ,vnt Coop;;48.739308;19.217819
26268;CLP;Banská Bystrica;;Banská Bystrica;Šálková-AZ;sm BB,Ľ,vnk Coop;;48.739308;19.217819
26269;CLP;Banská Bystrica;;Banská Bystrica;časť Senica-AZ;otočka autobusov,P,vnk;;48.752662;19.190889
