e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
40566;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Starohájska/Dudova,O;dostih. dráha,2,smer Kutlíkova internát EU,Obchodná akadémia;;48.117396;17.120184
40567;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Starohájska/Osuského,O;dostihov.dráha,1smer centrum,Ľ internát EU,Obchodná akadémia;;48.118618;17.11916
40568;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Starohájska/Osuského,O;dostih. dráha,1,smer Kutlíkova internát EU,Obchodná akadémia;;48.118618;17.11916
40594;24;Bratislava;Bratislava 5;Bratislava 5-Jarovce;Jantárová/PD Dunaj,J;príjazd z Rakúska,smer BA obytný súbor Jantár, zastávka MHD;;48.072429;17.118847
40599;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Šintavská/Budatínska,J;príjazd k Tescu,1 tenisové kurty,OC Danubia,základná škola;;48.108361;17.099282
40600;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Šintavská/Budatínska,J;príjazd k Tescu,2 tenisové kurty,OC Danubia,základná škola;;48.108362;17.099385
40605;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Tomášikova/Seberíniho,V;križovatka,smer Ružinovská,Ľ City Hotel Bratislava, kostol;;48.153307;17.163302
40606;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Tomášikova/Seberíniho,V;križovatka,smer Gagarinova City Hotel Bratislava, kostol;;48.153429;17.163202
40618;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Dolnozemsk/Žehrian/MIVA,E-57,O;výpad.sm CLO Maď/Rak,Ľ,2 Poliklinika Pro Care, obyt.súbor Melrose Place;;48.097359;17.121227
40619;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Dolnozemsk/Žehrian/MIVA,E-57,O;príj.od CLO Maď,smPríst.m.,2 Poliklinika Pro Care, obyt.súbor Melrose Place;;48.097359;17.121227
40620;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Dolnozemsk/Žehrian/MIVA,E-57,O;výpad.sm CLO Maď/Rak,Ľ,3 Poliklinika Pro Care, obyt.súbor Melrose Place;;48.096304;17.121164
40621;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Dolnozemsk/Žehrian/MIVA,E-57,O;príj.od CLO Maď,smPríst.m.,3 Poliklinika Pro Care, obyt.súbor Melrose Place;;48.096304;17.121164
40626;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Prievozská/Pažítková,E-75,O;sídlisko,Rotunda,sm Prievoz,Ľ pizzeria Rotunda, Moja samoška;;48.149365;17.150901
40627;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Prievozská/Pažítková,E-75,O;sídlisko,Rotunda,smer centrum pizzeria Rotunda, Moja samoška;;48.149365;17.150901
40630;24;Bratislava;Bratislava 1;Bratislava 1-Staré Mesto;Špitálska,J;centrum,parkovisko,1 Tesco,zastávka MHD,obchody,banky;;48.145738;17.113181
40631;24;Bratislava;Bratislava 1;Bratislava 1-Staré Mesto;Špitálska,J;centrum,parkovisko,2 Tesco,zastávka MHD,obchody,banky;;48.145763;17.113142
40632;24;Bratislava;Bratislava 1;Bratislava 1-Staré Mesto;Špitálska,J;centrum,parkovisko,3 Tesco,zastávka MHD,obchody,banky;;48.145783;17.113088
40633;24;Bratislava;Bratislava 1;Bratislava 1-Staré Mesto;Špitálska,J;centrum,parkovisko,4 Tesco,zastávka MHD,obchody,banky;;48.145827;17.112969
40646;24;Bratislava;Bratislava 3;Bratislava 3-Nové Mesto;Šancová,E-571;hlavný ťah mestom,tržnica,1 Istropolis,Železničná poliklinika, zastávky MHD;;48.158154;17.124869
40647;24;Bratislava;Bratislava 3;Bratislava 3-Nové Mesto;Šancová,E-571;hlavný ťah mestom,tržnica,2 Istropolis,Železničná poliklinika, zastávky MHD;;48.158155;17.124941
40648;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Východná,spoj.Rača-Vajnory,O;smer Vajnory,Ľ letisko Vajnory,OC Vajnoria;;48.197197;17.175006
40649;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Východná,spoj.Vajnory-Rača,O;kruh.objazd,sm Rača letisko Vajnory;;48.197197;17.175006
40654;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Pri Šajbách/Sklabinská,3-panel;križ,sm policaj.akad./Vajnory Policajná akadémia;;48.201672;17.164211
40655;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Pri Šajbách/Sklabinská,3-panel;križ,sm policaj.akad./Rača Policajná akadémia;;48.201539;17.164227
40656;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Pri Šajbách/Sklabinská,3-panel;križ,sm Rača/Vajnory,Ľ Policajná akadémia;;48.20158;17.164405
40669;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Drieňová/Tomášikova;križovatka,garáže,7 ČS Shell, Martinský cintorín;;48.160996;17.1601
40688;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Gagarinova,E-575,O;príjazd od KN,smer centrum,Ľ vjazd na obchvat, ČS OMV;;48.147134;17.184539
40689;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Gagarinova,E-575,O;výj.z diaľnice,obchvatu, sm.KN ČS OMV,záhrady;;48.147134;17.184539
40690;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Drieňová/Tomášikova;križovatka,garáže ČS Shell, Martinský cintorín;;48.160843;17.157945
40693;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah BA-Rusovce,E-75,O;výjazd smer BA,1,Ľ futbalový štadion, hrádza;;48.060857;17.145425
40694;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah BA-Rusovce,E-75,O;píjazd od BA,smer Maďarsko 1 futbalový štadion, hrádza;;48.06087;17.145458
